,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away
478,ternana,vis pesaro,11,5,21,23,30,33,8,6,7,8,9,6,29,21,21,16,8,5,italy,0,0,1.0,0.5,0,2,H,L,0,2
500,vibonese,catanzaro,9,3,20,19,29,37,8,5,7,11,4,4,20,32,18,13,2,19,italy,0,0,2.66,1.16,0,0,A,L,0,2
501,paganese,siracusa,19,15,19,19,8,18,1,5,13,5,4,10,19,18,46,25,-27,-7,italy,0,0,3.2,0.6,1,1,A,L,1,3
502,fano,sudtirol,15,11,21,21,23,28,5,8,8,6,10,5,12,19,17,17,-5,2,italy,0,0,1.0,0.6,0,3,A,D,0,0
511,bisceglie,reggina,17,8,19,19,15,28,3,6,10,8,4,7,9,24,24,22,-15,2,italy,0,0,1.33,1.0,0,1,A,L,0,1
512,pro patria,olbia,9,16,21,20,28,17,7,7,7,3,8,9,21,18,23,29,-2,-11,italy,0,0,4.0,2.0,3,2,H,W,3,2
515,lucchese,pistoiese,15,16,20,19,18,17,5,11,4,4,5,10,30,21,25,26,5,-5,italy,0,0,2.83,1.5,1,0,H,W,1,0
522,fermana,feralpisalo,4,9,20,20,31,28,9,4,7,7,7,6,13,21,15,21,-2,0,italy,0,0,1.66,0.33,1,0,A,D,0,0
605,inter,ac milan,3,11,8,7,16,12,5,1,2,3,3,1,12,15,6,10,6,5,italy,0,-4,2.83,0.83,1,0,A,D,0,0
609,parma,lazio,9,4,8,8,13,15,4,1,3,5,0,3,10,11,9,9,1,2,italy,4,4,2.83,1.5,0,2,A,L,0,4
611,juventus,genoa,1,12,8,7,24,12,8,0,0,4,0,3,18,12,5,14,13,-2,italy,0,5,3.0,2.16,1,1,H,W,1,0
613,napoli,as roma,2,7,9,9,21,14,7,0,2,4,2,3,18,16,10,12,8,4,italy,0,0,2.5,1.0,1,1,H,L,2,4
615,lazio,inter,4,3,9,9,18,19,6,0,3,6,1,2,13,13,9,6,4,7,italy,0,0,2.83,1.33,0,3,H,L,2,3
616,sampdoria,sassuolo,6,8,8,8,14,13,4,2,2,4,1,3,12,15,4,14,8,1,italy,0,4,2.33,0.66,0,0,A,L,0,1
617,udinese,napoli,15,2,8,8,8,18,2,2,4,6,0,2,8,15,10,10,-2,5,italy,0,5,3.0,1.0,0,3,A,L,2,4
618,ac milan,genoa,7,11,9,9,15,14,4,3,2,4,2,3,18,15,13,17,5,-2,italy,0,0,1.5,0.66,2,1,A,W,1,0
622,empoli,juventus,18,1,9,9,6,25,1,3,5,8,1,0,8,19,13,6,-5,13,italy,0,6,2.33,0.83,1,2,A,L,0,2
624,fiorentina,cagliari,7,14,8,8,13,9,4,1,3,2,3,3,14,6,6,9,8,-3,italy,0,4,3.16,1.33,1,1,H,L,0,1
