,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away
4476,clermont,gfc ajaccio,8,11,8,8,12,11,3,3,2,3,2,3,11,10,7,12,4,-2,france,0,0,4.16,1.66,1,1,H,W,1,0
4477,ajaccio,valenciennes,18,10,8,8,6,11,1,3,4,3,2,3,4,12,9,14,-5,-2,france,0,0,2.66,1.16,3,1,A,L,0,2
4497,auxerre,ajaccio,16,18,7,7,6,5,2,0,5,1,2,4,7,4,11,9,-4,-5,france,0,0,1.66,0.83,0,0,H,D,1,1
4498,chateauroux,beziers,13,15,7,6,7,6,1,4,2,2,0,4,4,4,6,6,-2,-2,france,0,0,2.5,1.75,2,0,H,L,1,2
4509,nancy,le havre,20,8,6,6,0,9,0,0,6,2,3,1,0,5,10,3,-10,2,france,3,4,3.0,1.16,0,1,H,L,0,3
4537,caen,amiens,16,15,7,7,7,7,1,4,2,2,1,4,9,10,11,12,-2,-2,france,3,0,2.5,1.16,1,0,A,L,0,3
4548,nancy,sochaux,20,14,8,8,3,9,1,0,7,3,0,5,1,6,11,8,-10,-2,france,0,0,2.0,1.16,0,0,A,L,0,1
4571,valenciennes,red star,11,19,8,8,11,4,3,2,3,1,1,6,11,5,14,13,-3,-8,france,0,0,2.5,0.75,4,1,H,D,0,0
4590,ajaccio,paris fc,17,6,6,6,4,11,1,1,4,3,2,1,4,7,9,6,-5,1,france,0,0,2.4,0.4,0,0,H,W,4,3
4591,brest,gfc ajaccio,7,5,6,6,10,11,3,1,2,3,2,1,6,9,5,7,1,2,france,0,-4,2.5,1.0,4,1,H,D,1,1
