,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away,Goals_scored_diff,Goals_Rec_diff,Goals_Diff_diff,Diff_Goal_Match
4233,1899 hoffenheim,sc freiburg,15,17,1,1,0,0,0,0,1,0,0,1,1,0,3,2,-2,-2,germany,0,-4,3.33,1.5,3,1,H,D,1,1,1,1,0,2
4243,schalke 04,fsv mainz,18,7,5,5,0,8,0,0,5,2,2,1,2,4,9,3,-7,1,germany,0,5,2.16,0.83,1,0,A,W,1,0,-2,6,-8,1
4257,bayer leverkusen,fsv mainz,17,5,3,3,0,7,0,0,3,2,1,0,2,4,8,2,-6,2,germany,0,0,3.0,1.5,1,0,H,W,2,0,-2,6,-8,1
4260,eintracht frankfurt,hannover 96,16,18,5,5,4,2,1,1,3,0,2,3,6,4,9,9,-3,-5,germany,0,5,2.5,0.83,4,1,H,W,1,0,2,0,2,3
4271,bayer leverkusen,vfl wolfsburg,16,6,1,1,0,3,0,0,1,1,0,0,0,2,2,1,-2,1,germany,0,0,3.66,1.33,1,3,H,L,1,2,-2,1,-3,-2
4278,vfb stuttgart,werder bremen,17,4,5,5,2,11,0,2,3,3,2,0,3,10,9,6,-6,4,germany,0,0,3.33,1.5,2,1,H,W,2,0,-7,3,-10,1
4281,bayern munchen,fc augsburg,1,11,4,4,12,4,4,0,0,1,1,2,11,6,2,7,9,-1,germany,3,6,4.33,2.0,1,1,A,W,4,1,5,-5,10,0
4299,rb leipzig,hannover 96,14,11,2,2,1,2,0,1,1,0,2,0,2,1,5,1,-3,0,germany,0,0,4.0,0.5,3,2,H,W,3,2,1,4,-3,1
4307,fc augsburg,sc freiburg,13,11,5,5,5,7,1,2,2,2,1,2,7,8,8,9,-1,-1,germany,0,0,3.0,1.0,4,1,A,L,0,2,-1,-1,0,3
4312,greuther furth,hamburger sv,4,3,7,7,12,13,3,3,1,4,1,2,11,10,7,10,4,0,germany,0,-4,1.0,0.66,0,0,H,D,0,0,1,-3,4,0
4313,rb leipzig,vfb stuttgart,8,17,5,5,8,2,2,2,1,0,2,3,8,3,8,9,0,-6,germany,0,0,1.0,0.66,2,0,H,W,2,0,5,-1,6,2
4317,fc augsburg,werder bremen,9,7,3,3,4,5,1,1,1,1,2,0,4,4,4,3,0,1,germany,0,4,3.5,1.33,2,3,H,L,1,3,0,1,-1,-1
