,Results_1,Results_2,League_Rank_1,League_Rank_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,H2H_Goals_Home,H2H_Goals_Away,Diff_Goal_Match
56,2,1,1,23,44,19,23,35,21,-16,2,1,1
57,3,0,7,15,40,29,27,35,13,-6,4,1,3
58,1,0,13,3,36,46,32,28,4,18,2,1,1
59,0,1,8,7,39,34,31,29,8,5,1,1,-1
60,1,0,5,17,37,34,20,40,17,-6,1,1,1
61,3,1,18,14,36,30,36,31,0,-1,1,1,2
62,0,2,19,15,33,33,41,41,-8,-8,0,0,-2
63,1,1,23,9,21,37,41,31,-20,6,0,1,0
64,0,1,8,3,26,44,24,23,2,21,1,2,-1
65,1,1,16,7,31,37,41,27,-10,10,1,3,0
66,2,1,22,17,23,37,40,41,-17,-4,1,1,1
67,3,1,9,20,42,29,33,44,9,-15,3,1,2
68,2,1,5,20,47,35,23,59,24,-24,4,0,1
69,1,4,11,18,33,39,35,44,-2,-5,0,1,-3
70,2,4,21,17,25,39,42,37,-17,2,1,5,-2
71,1,1,4,2,54,48,34,34,20,14,4,3,0
72,2,0,23,7,28,39,41,29,-13,10,0,1,2
73,1,1,17,12,38,35,43,31,-5,4,0,1,0
74,1,2,8,5,38,28,28,18,10,10,0,1,-1
75,0,1,11,2,38,54,34,25,4,29,5,3,-1
76,2,1,23,1,31,46,41,25,-10,21,1,4,1
77,1,0,24,21,21,25,46,41,-25,-16,0,1,1
78,2,0,13,3,40,36,43,18,-3,18,2,2,2
79,2,2,20,15,26,25,42,32,-16,-7,0,6,0
80,1,0,17,18,32,31,38,37,-6,-6,1,0,1
81,0,2,13,9,34,26,36,29,-2,-3,0,1,-2
82,0,0,6,4,47,47,38,31,9,16,1,0,0
83,1,0,1,15,47,29,26,34,21,-5,1,1,1
84,0,0,8,21,38,28,28,44,10,-16,0,0,0
85,0,1,1,9,46,27,25,25,21,2,0,1,-1
86,1,2,8,3,37,45,29,26,8,19,1,2,-1
87,1,2,23,14,22,27,42,34,-20,-7,2,3,-1
88,1,0,1,14,48,30,17,33,31,-3,1,2,1
89,1,4,23,13,27,31,37,30,-10,1,0,2,-3
90,0,0,19,15,25,30,29,33,-4,-3,0,1,0
91,2,1,14,7,31,44,36,33,-5,11,0,6,1
92,3,0,2,10,44,42,22,38,22,4,3,0,3
93,1,1,16,22,37,29,38,46,-1,-17,0,1,0
94,0,4,21,11,31,34,43,34,-12,0,0,2,-4
95,0,0,9,17,27,29,25,35,2,-6,0,0,0
96,0,1,4,14,44,30,23,36,21,-6,0,0,-1
97,1,3,11,3,17,20,23,17,-6,3,2,2,-2
98,2,1,7,18,45,33,33,56,12,-23,4,1,1
99,4,3,3,2,49,41,29,19,20,22,0,1,1
100,0,1,8,16,41,37,33,54,8,-17,5,0,-1
101,1,0,12,17,38,38,40,51,-2,-13,1,1,1
102,0,2,10,9,31,27,34,25,-3,2,0,2,-2
103,1,1,13,23,38,31,38,47,0,-16,0,1,0
104,0,1,11,17,33,34,38,42,-5,-8,2,2,-1
105,0,2,9,6,35,43,36,27,-1,16,0,0,-2
106,1,0,8,19,38,28,29,49,9,-21,2,0,1
107,1,2,21,10,28,33,44,35,-16,-2,0,1,-1
108,0,3,19,16,36,29,43,43,-7,-14,1,2,-3
109,0,1,22,11,25,38,30,40,-5,-2,0,1,-1
110,5,1,9,7,25,27,32,32,-7,-5,5,6,4
111,0,3,12,1,20,19,26,12,-6,7,0,1,-3
112,3,2,16,13,27,35,34,42,-7,-7,0,1,1
113,1,3,18,9,31,38,38,32,-7,6,0,1,-2
114,2,1,10,5,21,26,31,26,-10,0,2,1,1
115,1,2,2,1,32,34,15,23,17,11,1,2,-1
116,2,0,2,6,47,43,24,28,23,15,1,0,2
117,5,1,5,4,25,21,24,17,1,4,5,1,4
118,2,0,21,11,24,31,47,34,-23,-3,2,0,2
119,0,1,2,18,36,29,17,46,19,-17,1,0,-1
